Sent [SYN] packet - Time: 0.1429ms
Received [SYN-ACK] packet - Time: 0.0044ms
Sent [ACK] packet - Time: 0.0245ms
Received [Data] packet - Filename: , SeqNum: 85, AckNum: 85, Length: 14, cwndSize: 7, Checksum: 4294919553, Time: 0.0019ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 86, AckNum: 85, Length: 1024, cwndSize: 8, Checksum: 4294959242, Time: 0.0157ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 87, AckNum: 86, Length: 1024, cwndSize: 8, Checksum: 4294962528, Time: 0.007ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 88, AckNum: 87, Length: 1024, cwndSize: 8, Checksum: 4294963634, Time: 0.0084ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 89, AckNum: 88, Length: 1024, cwndSize: 8, Checksum: 4294920105, Time: 0.0084ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 90, AckNum: 89, Length: 1024, cwndSize: 8, Checksum: 4294921383, Time: 0.0083ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 91, AckNum: 90, Length: 1024, cwndSize: 8, Checksum: 4294914221, Time: 0.0068ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 92, AckNum: 91, Length: 1024, cwndSize: 8, Checksum: 4294953155, Time: 0.007ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 93, AckNum: 92, Length: 1024, cwndSize: 8, Checksum: 4294935350, Time: 0.0147ms
Received [Data] packet - Filename: , SeqNum: 86, AckNum: 86, Length: 14, cwndSize: 8, Checksum: 4294919553, Time: 0.0028ms
Received [Data] packet - Filename: , SeqNum: 87, AckNum: 87, Length: 14, cwndSize: 8, Checksum: 4294919553, Time: 0.0024ms
Received [Data] packet - Filename: , SeqNum: 88, AckNum: 88, Length: 14, cwndSize: 8, Checksum: 4294919553, Time: 0.002ms
Received [Data] packet - Filename: , SeqNum: 89, AckNum: 89, Length: 14, cwndSize: 8, Checksum: 4294919553, Time: 0.0021ms
Received [Data] packet - Filename: , SeqNum: 90, AckNum: 90, Length: 14, cwndSize: 8, Checksum: 4294919553, Time: 0.0383ms
Received [Data] packet - Filename: , SeqNum: 91, AckNum: 91, Length: 14, cwndSize: 8, Checksum: 4294919553, Time: 0.0044ms
